"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"1","FC Bayern München","FCB","SV Werder Bremen","BRE","Fr, 26. August 2016 - 20:30","Fr 20:30","FINISHED","6","0"
"1","Borussia Dortmund","BVB","1. FSV Mainz 05","M05","Sa, 27. August 2016 - 15:30","Sa 15:30","FINISHED","2","1"
"1","1. FC Köln","KOE","SV Darmstadt 98","DAR","Sa, 27. August 2016 - 15:30","Sa 15:30","FINISHED","2","0"
"1","FC Augsburg","FCA","VfL Wolfsburg","WOB","Sa, 27. August 2016 - 15:30","Sa 15:30","FINISHED","0","2"
"1","Hamburger SV","HSV","FC Ingolstadt 04","FCI","Sa, 27. August 2016 - 15:30","Sa 15:30","FINISHED","1","1"
"1","Eintracht Frankfurt","SGE","FC Schalke 04","S04","Sa, 27. August 2016 - 15:30","Sa 15:30","FINISHED","1","0"
"1","Borussia Mönchengladbach","BMG","Bayer 04 Leverkusen","LEV","Sa, 27. August 2016 - 18:30","Sa 18:30","FINISHED","2","1"
"1","Hertha BSC","BSC","SC Freiburg","SCF","So, 28. August 2016 - 15:30","So 15:30","FINISHED","2","1"
"1","TSG 1899 Hoffenheim","HOF","Red Bull Leipzig","RBL","So, 28. August 2016 - 17:30","So 17:30","FINISHED","2","2"
"2","FC Schalke 04","S04","FC Bayern München","FCB","Fr, 09. September 2016 - 20:30","Fr 20:30","FINISHED","0","2"
"2","Bayer 04 Leverkusen","LEV","Hamburger SV","HSV","Sa, 10. September 2016 - 15:30","Sa 15:30","FINISHED","3","1"
"2","SV Darmstadt 98","DAR","Eintracht Frankfurt","SGE","Sa, 10. September 2016 - 15:30","Sa 15:30","FINISHED","1","0"
"2","SC Freiburg","SCF","Borussia Mönchengladbach","BMG","Sa, 10. September 2016 - 15:30","Sa 15:30","FINISHED","3","1"
"2","FC Ingolstadt 04","FCI","Hertha BSC","BSC","Sa, 10. September 2016 - 15:30","Sa 15:30","FINISHED","0","2"
"2","VfL Wolfsburg","WOB","1. FC Köln","KOE","Sa, 10. September 2016 - 15:30","Sa 15:30","FINISHED","0","0"
"2","Red Bull Leipzig","RBL","Borussia Dortmund","BVB","Sa, 10. September 2016 - 18:30","Sa 18:30","FINISHED","1","0"
"2","SV Werder Bremen","BRE","FC Augsburg","FCA","So, 11. September 2016 - 15:30","So 15:30","FINISHED","1","2"
"2","1. FSV Mainz 05","M05","TSG 1899 Hoffenheim","HOF","So, 11. September 2016 - 17:30","So 17:30","FINISHED","4","4"
"3","1. FC Köln","KOE","SC Freiburg","SCF","Fr, 16. September 2016 - 20:30","Fr 20:30","FINISHED","3","0"
"3","TSG 1899 Hoffenheim","HOF","VfL Wolfsburg","WOB","Sa, 17. September 2016 - 15:30","Sa 15:30","FINISHED","0","0"
"3","FC Bayern München","FCB","FC Ingolstadt 04","FCI","Sa, 17. September 2016 - 15:30","Sa 15:30","FINISHED","3","1"
"3","Hamburger SV","HSV","Red Bull Leipzig","RBL","Sa, 17. September 2016 - 15:30","Sa 15:30","FINISHED","0","4"
"3","Eintracht Frankfurt","SGE","Bayer 04 Leverkusen","LEV","Sa, 17. September 2016 - 15:30","Sa 15:30","FINISHED","2","1"
"3","Borussia Dortmund","BVB","SV Darmstadt 98","DAR","Sa, 17. September 2016 - 15:30","Sa 15:30","FINISHED","6","0"
"3","Borussia Mönchengladbach","BMG","SV Werder Bremen","BRE","Sa, 17. September 2016 - 18:30","Sa 18:30","FINISHED","4","1"
